index,메뉴명,조리방법,요리종류,열량,탄수화물,단백질,지방,나트륨,이미지경로,재료정보,저감조리법TIP,만드는법,감정,재료
560,양송이구이,굽기,반찬,162.2,6.6,14.5,8.6,115.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00379_2.png,양송이 100g  로즈마리 1g 소 : 다진 돼기고기 100g  청양고추 30g  후추 1g  다진마늘 5g  달걀 60g  밀가루 5g 소스 : 홀스레디쉬 30g  레몬즙 15g  후추 1g,청양고추와 마늘을 사용해 특유의 맛과 향을 냈고  양송이버섯 특유의 감칠맛으로 나트륨 사용을 줄일 수가 있다.,"1. 양송이는 꼭지를 제거하고 밀가루를 살짝
묻혀준다.||2. 청양고추를 송송 다진다.||3. 청양고추  다진 돼지고기  계란을 함께 버무려
준다.||4. 양송이 소에 양념된 돼지고기를 채워준다.||5. 소스를 만들어준다.||6. 팬에 양송이를 구워준 후 로즈마리를 올려주고
소스와 함께 낸다.",2 3,양송이 로즈마리 다진 돼기고기 청양고추 후추 마늘 달걀 밀가루 홀스레디쉬 레몬즙 후추
561,함초김치,기타,반찬,49.1,11.2,0.7,0.2,176.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00380_2.png,함초 25g  알배추 50g  양파 50g  무 100g  간편 어간장 15g 국물 : 오렌지주스 50g  유자청 30g  식초 15g  설탕 15g  야채국물 800g,함초에서 나오는 염분을 이용하고 간편 어간장의 감칠맛으로 짠맛을 대체하였다.,"1. 함초는 먹기 좋게 썰어준다.||2. 알 배추  무  양파도 먹기 좋게 썬다.||3. 오렌지주스와 유자청을 넣어 국물을 만든다.||4. 볼에 함초  알배추  무를 넣어 섞고 어간장을
넣어 살짝 절여준다.||5. 절여진 재료에 국물을 부어준다.||6. 3시간 정도 후부터 먹을 수가 있다.",0 2,함초 알배추 양파 무 어간장 오렌지주스 유자청 식초 설탕 야채국물
562,연어스테이크,굽기,일품,487.8,31.1,23.3,26.1,362.3,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00381_2.png,연어 150g  건조다시마 사방 10cm 1장  잎녹차 5g  브로콜리 15g  호두10g 귀리 20g  쌀 20g  미소된장 5g  흰후추 1g  화이트와인 15g   생크림 50g 수제조미료 10g  닭육수 150g  버터 5g,연어에 다시마의 자체 염을 염지하여 맛과 풍미를 높였다.,"1. 연어는 불려준 다시마에 싸주어 24시간 염지
시켜준다.||2. 잎 녹차는 물에 불려준다.||3. 뒤 수분을 빼주고 팬에 올려서 연어를 약불
에서 구워내 준다.||4. 브로콜리  호두도 먹기 좋게 잘라준다.||5. 귀리와 쌀은 1시간정도 불려준다.||6. 닭 육수와 미소된장을 넣어 볶아주다가 불린
쌀을 넣어 볶아주어 리조또를 완성하고 접시에
리조또를 담고 구운 연어를 올려 완성한다.",1 4,연어 건조다시마 잎녹차 브로콜리 호두 귀리 쌀 미소된장 흰후추 화이트와인 생크림 조미료 닭육수 버터
563,웰빙꼬치,굽기,반찬,125.5,15.1,11.8,2,60.5,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00382_2.png,닭가슴살 150g  자숙새우 100g  소라살 100g  방울토마토 80g 단호박 100g  대파 50g  2가지색 파프리카 100g 양파 100g  흰 후추 2g  레드와인 30g  다진 마늘 15g  올리브오일 30g  통후추 3g 소스 : 발사믹 식초 100g  설탕 30g  버터 30g,버터와 발사믹 식초를 이용해 소스를 만들고 설탕으로 소스의 농도와 윤기를 내주면서 발사믹 식초의 상큼한 맛으로 짠맛을 대체하였다.,"1. 닭가슴살과 단호박은 사방 2.5cm 크기로
잘라준다.||2. 양파 2가지  색파프리카  대파는 닭 크기와
비슷하게 잘라준다.||3. 닭가슴살과 소라살은 통후추  올리브오일에
재워준다.||4. 소스를 만들어준다.||5. 모든 재료를 꼬치에 꽂는다.||6. 꼬치를 팬에 구워주면서 소스를 발라준다.",0,닭가슴살 자숙새우 소라살 방울토마토 단호박 대파 파프리카 양파 흰후추 레드와인 마늘 올리브유 통후추 발사믹식초 설탕 버터
564,매운닭날개구이,굽기,반찬,285,22,17,14.3,433.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00383_2.png,닭날개 100g  감자 80g  방울토마토 100g  브로콜리 30g 마늘 15g  양파 50g  버터 15g  후추 1g  황설탕 5g 고춧가루 5g  레드와인 30g  멕시코고추 1g,닭날개에 간을 내어 닭 고유의 맛과 향신료 특유의 맛이 조화를 이루어 짠맛을 대체하였다.,"1. 닭날개를 멕시코고추와 고추가루에 설탕 
다진마늘  후추를 넣어 밑간을 해준다.||2. 감자는 먹기 좋게 썰어 뜨거운 물에 70%
정도 익혀준다.||3. 감자는 데쳐 낸 후 버터에 볶아준다.||4. 브로콜리는 데치고  사과와 토마토는 잘게
잘라준다.||5. 냄비에 다진마늘과 다진양파를 볶아주다
토마토를 넣어 소스를 만들어준다.||6. 닭날개를 팬에 구워주고 감자와 샐러드를
곁들여 완성한다.",0,닭날개 감자 방울토마토 브로콜리 마늘 양파 버터 후추 황설탕 고춧가루 레드와인 멕시코고추
565,웰빙카레죽,끓이기,반찬,210.4,33.7,5.1,6.1,351,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00384_2.png,카레가루 45g  귀리밥 200g  닭가슴살 150g  애호박 25g 감자 60g  양파 60g  방울토마토 100g 마늘 100g  버터 15g  칵테일새우 30g,카레의 특유 향과 갖가지 채소가 짠맛을 대체하면서 식욕을 자극한다.,"1. 카레가루를 물에 풀어서 30분 정도 숙성
시켜준다.||2. 닭가슴살은 사방 1cm 크기로 잘라주고 
칵테일새우도 세척해 준비한다.||3. 알 마 늘   감자는 사 방 1 c m 길이로 잘라
물 400g에 먼저 익혀준다.||4. 방울토마토  애호박은 사방 1cm 크기로
썰어준다.||5. 끓고 있는 냄비에 풀어 놓은 카레가루를 섞어
다시 끓여준다.||6. 양파는 사방 1cm 길이로 잘라주고 끓고 있는
카레에 양파  방울토마토  애호박을 넣고
끓여 완성한다.",0,카레가루 귀리밥 닭가슴살 애호박 감자 양파 방울토마토 마늘 버터 칵테일새우
566,닭가슴살 두부선,찌기,반찬,94.34,1.13,14.4,3.58,17.24,http://www.foodsafetykorea.go.kr/uploadimg/20190408/20190408102916_1554686956344.jpg,닭고기(가슴살) 50g  두부 120g  비트 10g  시금치 10g  베이비채소 1g  마늘 2g  참기름 1.5g  흑임자 3g  플레인요거트 15g  식초 0.5g  설탕 1g  소금 0.2g,플레인요거트를 이용한 흑임자소스로 고소하고 상큼한 맛을 내 나트륨을 줄일 수 있어요.,1. 닭가슴살  두부  소금을 믹서에 간다.||2. 1에 간 마늘과 소금  참기름을 섞는다.||3. 반죽 1/3은 비트물  1/3은 시금치물을 넣어 색을 입힌다.||4. 틀에 반죽을 층층이 쌓아 모양을 만든 뒤 오븐에 찐다.||5. 흑임자가루  플레인요거트  식초  설탕을 섞어 드레싱을 만든다.||6. 접시에 담고 소스와 베이비채소를 얹는다.,0,닭가슴살 두부 비트 시금치 베이비채소 마늘 참기름 흑임자 플레인요거트 식초 설탕 소금
567,단호박 마전,굽기,반찬,122.34,16.58,2.53,5.1,1.18,http://www.foodsafetykorea.go.kr/uploadimg/20190408/20190408103439_1554687279859.jpg,단호박 70g  마 20g  밀가루 5g  찹쌀가루 5g  건대추 1g  소금 0.3g,단호박의 달고 고소한 맛으로 나트륨이 적어도 풍미를 낼 수 있어요.,1. 단호박을 잘게 다진다.||2. 마를 0.3cm 두께로 썰어 뜨거운 물에 데친다.||3. 잘게 다진 단호박에 밀가루와 찹쌀가루  물  소금을 넣어 반죽한다.||4. 프라이팬에 식용유를 두르고 반죽을 두른다.||5. 두른 반죽 가운데 마를 올려 부친다.||6. 먹기 좋게 담은 후 건대추를 고명으로 올린다.,0,단호박 마 밀가루 찹쌀가루 건대추 소금
568,완두콩과 당근을 넣은 감자요거트 샐러드,기타,기타,44.3,8.3,2,0.4,25.5,http://www.foodsafetykorea.go.kr/uploadimg/20230306/20230306030122_1678082482750.jpg,완두콩 10g  당근 10g  감자 50g  플레인요거트 20g,요거트를 드레싱으로 사용하여 나트륨 함량을 낮췄어요.,1. 완두콩을 삶아 건진다.||2. 감자는 삶은 뒤 건져 껍질을 벗긴다.||3. 감자가 뜨거울 때 곱게 으깬다.||4. 당근을 잘게 다진다.||5. 으깬 감자와 완두콩  당근을 섞는다.||6. 플레인요거트를 섞어 마무리한다.,0,완두콩 당근 감자 플레인요거트
569,무오색쌈,기타,반찬,19.1,1.1,1.7,0.9,63.5,http://www.foodsafetykorea.go.kr/uploadimg/20200317/20200317113150_1584412310801.JPG,쌈무 10.5g  쇠고기 4.5g  달걀 2.4g  당근 3.3g  표고버섯 3.2g  오이 7.8g  연겨자 0.28g  진간장 0.05g  식초 0.57g  참기름 0.14g  깐마늘 0.3g  설탕 0.1g  통깨 0.01g  소금 0.05g,새콤달콤 톡 쏘는 연겨자를 이용해 소금의 사용을 최소화했어요.,1. 당근  오이  표고버섯은 5cm 길이로 가늘게 채썬다.||2. 당근  오이  표고버섯은 각각 살짝 볶아내어 식혀둔다.||3. 쇠고기는 간장  설탕  마늘  참기름을 넣어 밑간하여 볶아낸다.||4. 달걀은 얇게 지단을 부쳐 5cm 길이로 썬다.||5. 연겨자  식초  마늘  설탕  깨를 넣어 소스를 만든다.||6. 모든 재료를 소스에 버무린 다음 무쌈과 함께 낸다.,0,쌈무 쇠고기 달걀 당근 표고버섯 오이 연겨자 진간장 식초 참기름 깐마늘 설탕 통깨 소금
